,n_neighbors,min_cluster_size,silhouette_score,unclassified_percentage,davies_bouldin_index,calinski_harabasz_score,clusters_count,classified_clusters_count,silhouette_score_with_penalty
15_50,15.0,50.0,0.2412559986114502,6.501283147989735,2.2882718478125903,935.6078316013691,4.0,3.0,0.2412559986114502
10_100,10.0,100.0,0.31799620389938354,4.769033361847733,1.5283735520245074,523.6963138773351,3.0,2.0,0.23849715292453766
15_100,15.0,100.0,0.23340003192424774,6.95038494439692,2.73785382883245,893.9695350305824,4.0,3.0,0.23340003192424774
20_100,20.0,100.0,0.3082874119281769,4.255774165953807,1.5628868683705963,491.114344620546,3.0,2.0,0.23121555894613266
20_50,20.0,50.0,0.2939520478248596,1.8391787852865698,1.9428690984163952,339.26885068082106,3.0,2.0,0.22046403586864471
5_100,5.0,100.0,0.20505006611347198,3.4644995722840033,1.5306467316026715,342.6199595989502,4.0,3.0,0.20505006611347198
20_200,20.0,200.0,0.24100898206233978,26.026518391787853,3.16277697719979,1469.8268089587586,3.0,2.0,0.18075673654675484
5_200,5.0,200.0,0.13609164953231812,24.358426005132593,2.646588210765486,690.7674421065115,3.0,2.0,0.10206873714923859
10_50,10.0,50.0,0.093532033264637,3.3361847733105217,1.5290154441142583,450.8976113610142,4.0,3.0,0.093532033264637
5_50,5.0,50.0,0.09264281392097473,0.5774165953806673,0.7244700500752783,299.4736179496522,4.0,3.0,0.09264281392097473
5_500,5.0,500.0,,100.0,,,1.0,0.0,0.0
10_500,10.0,500.0,,100.0,,,1.0,0.0,0.0
15_500,15.0,500.0,,100.0,,,1.0,0.0,0.0
20_500,20.0,500.0,,100.0,,,1.0,0.0,0.0
15_200,15.0,200.0,-0.017145227640867233,52.03165098374679,2.3572321956267697,764.5156083842145,4.0,3.0,-0.017145227640867233
10_200,10.0,200.0,-0.09751786291599274,64.7775876817793,5.124626778071328,507.84437960525696,4.0,3.0,-0.09751786291599274
